City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
593,Harlingen,US,84.29,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
599,Kalianget,ID,83.46,broken clouds,-7.05,113.9333,Pesanggrahan Garam
600,Banda Aceh,ID,85.53,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
604,Dongsheng,CN,87.57,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
607,Meadow Lake,US,79.36,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
609,Katobu,ID,86.74,broken clouds,-4.9408,122.5276,La Ode Husein
612,Arlit,NE,88.02,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
615,Tigzirt,DZ,76.91,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
624,Lexington,US,75.2,overcast clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
629,San Pedro,PH,83.43,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
631,Chateaubelair,VC,78.96,few clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
635,San Carlos Del Zulia,VE,75.42,overcast clouds,9.0,-71.9135,Hotel El Manantial
636,Isabela,PH,87.85,broken clouds,6.7085,121.9711,Isawad Resort
638,Alamogordo,US,87.15,few clouds,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
639,Pokhara,NP,79.39,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
640,Heishan,CN,88.79,overcast clouds,41.6892,122.1128,Heishan Hotel
643,Bandundu,CD,78.13,few clouds,-3.3167,17.3667,Coja Color
644,Fort Smith,US,87.84,overcast clouds,35.3859,-94.3986,Hampton Inn Fort Smith
649,Jishou,CN,89.82,few clouds,28.3167,109.7167,7 Days Inn
651,Jaru,BR,78.64,overcast clouds,-10.4389,-62.4664,Hotel Paraná
654,Kapoeta,SS,75.24,broken clouds,4.7717,33.5903,Eastgate Hotel
657,Quang Ngai,VN,89.49,overcast clouds,15.1167,108.8,Central Hotel
662,Banjar,ID,88.61,broken clouds,-8.19,114.9675,The Hamsa Resort
663,Moussoro,TD,77.95,light rain,13.6408,16.4901,Pharmacie alnadja Moussoro
664,Filadelfia,US,80.02,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
